LREN3,RADL3,MGLU3,VIIA3,AMER3
41.75,20.7,10.47,9.71,53.69
32.93,18.73,8.5,7.5600000000000005,48.51
34.39,20.36,8.87,7.04,52.63
28.56,19.88,7.18,4.82,49.98
32.84,21.13,7.62,5.11,47.7
30.76,22.16,7.64,4.97,48.23
26.82,22.66,7.53,4.41,44.44
29.49,21.34,9.15,5.01,53.71
32.9,22.26,9.97,5.71,58.8
34.59,21.78,10.25,5.7,54.99
32.18,21.15,9.72,5.7,50.26
31.9,20.6,10.37,5.45,49.97
30.0,20.11,9.72,5.28,47.04
28.83,20.41,9.35,4.65,47.12
28.73,20.7,8.95,4.38,48.75
27.68,18.75,8.86,4.1,44.2
31.06,19.15,9.52,4.36,52.77
33.08,19.84,10.0,4.42,56.35
33.75,20.02,10.46,5.03,60.16
32.7,20.13,10.39,5.15,56.58
32.22,19.95,10.45,5.43,57.14
32.24,19.73,10.7,6.09,58.31
31.96,20.19,10.93,6.32,61.55
31.87,20.74,11.36,6.41,63.4
33.52,20.53,11.12,6.48,60.57
34.86,21.42,12.09,6.59,63.37
36.59,21.93,12.6,7.4,74.24
35.27,21.13,12.33,7.36,71.35
33.67,20.65,11.81,6.38,67.31
34.56,20.95,12.34,7.57,73.69
35.95,21.84,12.92,9.04,75.67
36.27,21.45,12.62,9.18,76.24
34.34,20.7,12.39,9.18,71.79
33.28,20.65,12.83,9.5,72.59
32.51,20.56,12.52,9.7,73.37
31.87,20.45,13.75,10.01,87.4
29.79,20.48,14.16,9.74,88.4
30.32,20.68,13.85,8.85,85.75
29.25,20.74,13.7,8.88,85.2
29.59,21.39,13.66,8.55,87.72
28.42,20.86,13.74,9.14,89.59
29.78,20.85,13.84,9.02,87.08
29.89,20.31,13.75,8.68,84.35
32.38,20.92,13.9,8.87,82.44
32.9,20.35,14.61,9.29,90.32
34.24,20.34,14.19,9.16,86.76
36.46,21.22,14.53,9.49,84.87
33.42,20.85,14.37,9.7,83.45
36.11,21.13,15.06,11.21,85.64
34.12,21.55,16.08,11.57,93.5
35.59,22.12,16.8,12.18,92.12
34.91,21.62,16.27,12.58,90.64
34.48,21.62,16.05,12.4,89.79
36.66,21.68,15.88,13.43,89.58
37.68,22.39,15.41,13.28,87.41
39.51,22.12,15.55,13.48,85.61
39.85,22.08,15.08,13.95,84.31
41.12,21.93,14.82,14.85,84.61
41.33,21.86,15.55,15.5,91.14
40.98,21.82,15.55,14.97,92.61
39.26,22.04,16.11,14.95,97.71
38.44,21.39,15.95,14.64,97.48
37.68,21.49,16.42,15.62,99.87
37.35,21.53,16.46,15.15,98.08
38.82,22.0,16.75,15.14,104.08
38.49,21.55,17.38,15.13,102.79
39.27,22.56,17.8,15.18,101.92
38.4,21.31,17.68,14.9,100.36
37.45,21.58,17.52,15.03,101.24
36.77,21.33,17.4,14.58,104.15
36.55,21.75,17.38,14.55,103.15
36.36,21.46,17.29,14.29,101.04
36.9,21.8,17.56,15.38,104.03
37.44,21.88,17.87,15.31,104.91
37.11,22.93,18.03,15.99,109.78
37.13,22.65,17.48,15.39,105.78
36.72,22.67,17.95,15.55,106.69
38.08,22.68,17.95,15.96,115.89
38.28,22.29,18.63,15.86,114.76
39.05,22.25,19.12,16.37,113.11
39.51,22.25,19.8,17.55,117.78
39.78,21.87,19.99,17.62,117.84
38.31,21.66,20.07,17.65,114.66
37.54,21.78,20.07,17.75,113.38
37.24,22.22,20.32,18.45,111.71
37.21,22.15,19.99,19.0,108.4
37.84,22.26,20.45,19.72,113.18
38.29,22.92,21.69,21.17,117.25
37.89,23.16,21.02,20.62,116.85
38.23,23.33,21.11,21.29,123.04
36.78,22.62,20.05,19.8,117.6
36.9,22.57,19.87,19.54,119.16
35.83,23.27,19.79,18.91,118.49
35.96,23.24,20.05,20.41,119.8
37.35,23.85,20.0,20.12,121.36
37.07,24.77,20.77,20.2,119.97
36.84,24.54,20.15,19.52,117.33
36.56,23.43,20.61,20.11,123.9
35.36,23.42,20.59,19.86,120.94
36.49,23.33,20.72,20.0,119.48
38.38,23.46,21.45,19.59,120.96
38.71,23.53,21.38,19.03,119.64
38.2,22.92,20.45,19.17,119.75
38.06,22.61,20.22,18.74,118.0
37.48,22.05,19.98,18.16,118.26
36.4,21.77,20.08,18.78,119.97
37.27,22.34,20.41,18.6,111.71
36.35,21.83,20.38,17.54,106.65
37.0,21.94,22.34,18.97,112.5
35.61,21.19,22.39,19.28,110.52
36.83,21.51,21.8,19.55,110.93
37.59,21.26,21.8,19.74,113.84
37.61,21.32,21.74,20.35,113.22
39.22,21.24,21.97,20.7,112.43
38.51,21.35,22.5,20.29,109.15
38.24,21.31,22.96,20.36,109.38
39.16,21.29,23.61,20.22,113.64
38.93,21.32,23.27,20.5,110.22
40.73,22.18,23.8,20.47,111.62
40.82,22.27,23.34,20.61,109.05
40.92,22.07,22.09,19.19,100.79
41.47,22.22,22.16,18.9,100.6
41.35,22.68,21.89,18.15,97.71
41.3,22.43,22.77,18.51,101.09
39.47,22.27,22.03,18.02,98.51
38.6,22.44,21.86,17.96,96.53
40.29,22.53,22.54,18.37,98.8
39.64,22.54,22.36,18.55,98.24
40.09,22.61,22.26,18.16,96.86
39.81,22.54,21.74,18.08,95.69
37.83,22.83,21.76,17.43,92.62
37.13,22.6,22.14,17.45,96.34
37.58,22.85,22.34,17.58,92.68
35.92,22.57,21.59,16.93,89.88
36.09,23.14,22.29,17.04,93.57
35.73,22.82,22.62,17.72,93.82
34.7,21.9,21.83,17.29,89.71
34.81,21.71,21.84,16.97,87.69
35.57,23.19,22.27,17.35,88.48
36.54,23.85,22.94,17.87,87.74
35.68,23.66,21.98,17.31,85.89
35.99,24.32,22.5,17.87,85.56
36.07,24.4,22.29,18.17,87.65
35.57,24.66,22.2,17.91,87.15
35.81,25.07,22.93,18.39,85.75
35.18,25.0,24.5,18.91,87.55
35.76,25.43,25.96,19.44,93.44
35.12,26.13,25.64,19.27,94.02
35.62,25.73,25.47,19.46,92.97
36.18,25.65,25.76,19.37,91.45
37.55,25.04,25.65,19.23,88.66
37.26,25.94,26.0,19.92,88.7
36.34,25.9,26.18,20.13,87.67
36.59,25.39,26.06,20.17,85.65
36.76,25.42,25.88,20.29,85.26
36.95,25.32,25.43,19.61,85.41
36.69,25.82,25.41,18.88,84.22
35.6,23.96,24.59,17.49,81.82
35.55,24.15,25.32,18.25,81.27
33.6,23.82,24.59,17.16,73.99
34.14,23.27,24.95,17.12,74.72
36.52,24.25,26.15,18.06,79.64
38.17,25.33,27.41,19.12,82.63
37.59,25.06,27.29,19.22,80.91
43.05,24.92,26.41,18.54,78.36
43.53,25.34,25.18,17.84,71.85
42.06,25.79,25.54,18.84,73.49
40.71,25.08,25.44,17.76,74.6
40.97,26.76,25.06,17.85,74.02
42.62,26.76,24.81,17.82,73.06
43.83,26.21,24.69,17.87,75.05
42.28,25.81,24.5,17.62,74.34
42.11,25.6,24.6,17.94,73.39
40.77,26.39,24.16,17.89,73.75
40.89,26.06,23.38,17.8,72.63
41.33,25.44,23.66,18.44,72.87
41.63,25.38,23.96,18.7,73.55
41.26,25.1,24.21,19.21,74.49
41.58,25.42,24.15,18.49,75.33
40.09,25.59,23.34,17.75,69.23
40.3,24.73,22.85,17.15,68.6
41.3,24.09,23.02,17.12,67.36
41.61,24.07,23.27,17.21,71.23
41.09,24.37,23.62,17.51,76.7
40.39,23.93,23.76,17.43,82.63
40.04,24.01,24.91,17.7,82.36
39.96,24.01,23.94,17.21,80.05
39.31,24.35,23.36,17.02,80.14
40.02,24.55,22.96,16.82,77.29
40.41,24.87,24.01,16.83,76.81
41.29,24.94,24.57,17.02,77.17
41.55,25.2,24.92,17.1,80.13
40.82,25.67,24.5,16.97,78.62
40.54,25.3,24.48,16.82,77.35
39.49,24.68,24.96,16.15,75.82
38.78,25.15,25.12,15.94,74.71
39.28,24.73,24.93,16.13,74.34
39.51,24.98,25.21,16.59,75.76
39.65,25.07,25.24,16.58,74.44
39.12,24.81,24.93,16.16,74.35
37.92,24.8,25.18,16.17,73.93
37.56,24.74,24.74,16.22,72.28
35.74,23.97,23.43,15.51,67.27
36.61,23.85,23.15,15.08,66.19
38.72,24.55,23.83,15.53,70.8
37.24,24.42,23.48,15.12,70.12
37.65,24.85,24.19,15.17,72.86
